id,vl_diff,cd_diff,vlogs_diff_mean,cds_diff_mean,n,payoffs,payoffs_b,nearest_payoff,classification_2,classification_3,classification_4,phen_1,str1_2,str1_3,str2_2,str2_3,str2_4,str2_5,str2_6,str2_7,batch_1,TB_1,GR_1
138,-0.07668921176841285,-0.25631659464818746,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.08482415317226838,-0.08686274333177196,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
139,-0.08898212178625645,-0.05960892814332891,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.08482415317226838,-0.08686274333177196,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
140,-0.2531407849838143,0.10131394135573102,0.01036795153766684,0.00431251384321148,79,-0.10103226812074526,-0.08482415317226838,-0.19402123090027823,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
141,-0.0744087538877646,-0.27331813535226485,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.08482415317226838,-0.06612330648821005,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
142,-0.13860826986419847,-0.06363963266340017,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.08482415317226838,-0.13760130456638373,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
143,-0.2811746281663037,-0.8585420721372208,-0.39504432171114445,-0.4577889117310282,47,-0.1651433779131996,-0.08482415317226838,-0.3439026780706041,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
144,-0.095035044627452,-0.2773101282893633,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.06317160930608406,-0.08686274333177196,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
145,0.06690289100390634,-0.3923392850306046,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.11702656113001551,0.07369898968389911,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
146,-0.08227052895363894,0.03134406469267348,0.01036795153766684,0.00431251384321148,79,-0.14315623770667257,-0.11702656113001551,-0.08686274333177196,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
147,-0.03990573175081441,-0.23876021671552655,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,0.01881142255874048,-0.02188969694557166,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
148,-0.2593702857945423,-0.371926224992316,-0.39504432171114445,-0.4577889117310282,47,-0.1651433779131996,-0.11702656113001551,-0.19402123090027823,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0
